Donor,codename
OXFAM,NGOs
SOS Kinderdorf,NGOs
Mercy Corps Scotland,NGOs
Practical Action (formerly Intermediate Technology Development Group),NGOs
World Relief,NGOs
World Vision Sudan,NGOs
CARE International Switzerland in Sudan,NGOs
Associazione di Cooperazione allo Sviluppo,NGOs
ACT Alliance,NGOs
World Poultry Foundation,NGOs
ACT Alliance / World Renew,NGOs
Canadian Catholic Organization for Development and Peace (Caritas Canada),NGOs
Caritas Germany (DCV),NGOs
Fonds Social de la République Démocratique du Congo,NGOs
Associazione Volontari per il Servizio Internazionale,NGOs
action medeor e.V.,NGOs
Relief International,NGOs
"Voice for Peace, Protection and Development",NGOs
Al-Khair Foundation,NGOs
IsraAID,NGOs
Dorcas Aid International,NGOs
Pax Christi e.V,NGOs
American Jewish World Service,NGOs
Aid Development Botswana,NGOs
Secours Islamique France,NGOs
Interchurch Medical Assistance World Health,NGOs
"ACT Alliance / Diakonia, Sweden",NGOs
Johanniter Unfallhilfe e.V.,NGOs
Plan USA,NGOs
Internews,NGOs
MEDAIR,NGOs
Fondation Caritas Luxembourg,NGOs
Gruppo Volontariato Civile,NGOs
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs
ACT Alliance / Diakonie Austria,NGOs
Water Missions International,NGOs
Danish Refugee Council,NGOs
INTERSOS Humanitarian Aid Organization,NGOs
Population Services International,NGOs
A Call to Serve InterNational,NGOs
A.I.M.E! International e.V. (Deutschland),NGOs
Aadamiga USA,NGOs
AAGAHI,NGOs
Aamin Voluntary Relief Organization,NGOs
ABAAD-Resource Center for Gender Equality,NGOs
ABC Children's Aid,NGOs
Abraham's Oasis,NGOs
Abs Development for Women and Children,NGOs
Abyei Community Action for Development,NGOs
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs
Access Aid and Development,NGOs
Access Development and Relief Organization,NGOs
Accio Solidaria IGMAN,NGOs
Accion Contra el Hambre,NGOs
ACDI/VOCA,NGOs
ACE Charitable Foundation,NGOs
Aceh’s People Forum,NGOs
ACF - Canada,NGOs
ACF - UK,NGOs
ACF - USA,NGOs
ACFOA,NGOs
ACH - UK,NGOs
ACT Alliance ,NGOs
ACT Alliance / Act for Peace,NGOs
ACT Alliance / Canadian Lutheran World Relief,NGOs
ACT Alliance / Christian Aid Ministries Nehemia,NGOs
ACT Alliance / Christian Aid UK,NGOs
ACT Alliance / Christian Care,NGOs
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs
ACT Alliance / Church World Service - Indonesia,NGOs
ACT Alliance / Ethiopian Orthodox Church,NGOs
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs
ACT Alliance / Icelandic Church Aid,NGOs
ACT Alliance / Life With Dignity,NGOs
ACT Alliance / Lutheran Development Service,NGOs
ACT Alliance / Lutheran World Federation Nepal,NGOs
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs
ACT Alliance / National Council of Churches of Kenya,NGOs
ACT Alliance / Presbyterian Disaster Assistance,NGOs
ACT Alliance / Solidarité Protestante,NGOs
ACT Alliance / Sudan Council of Churches,NGOs
ACT Alliance / YAKKUM Emergency Unit,NGOs
ACT Netherlands,NGOs
ACT/Diakonie,NGOs
Action Against Disasters Somalia,NGOs
Action Against Hunger,NGOs
Action Aid,NGOs
Action Chretienne pour combattre la pauvretre et l'analphabetisme,NGOs
Action contre la Faim / contra Hambre / Against Hunger,NGOs
Action Contre la Faim-Espagne,NGOs
Action Contre la Faim-France,NGOs
Action Contre la Pauvreté (ACP),NGOs
Action de Dévelopement Durable en Afrique,NGOs
Action d'Espoir,NGOs
Action for Community Transformation Organization - Afghanistan,NGOs
Action for Development,NGOs
Action for Peace and Sustainable Development,NGOs
Action for Relief and Development,NGOs
Action on Armed Violence,NGOs
Action pour le Bien Etre Communautaire (ABC),NGOs
Action pour le Développement Intégral au Kivu,NGOs
Action pour un Monde Uni,NGOs
Action Solidarité Tiers Monde,NGOs
ActionAid,NGOs
ActionAid InterNational NEPAL,NGOs
ACTIONAID InterNational ZIMBABWE,NGOs
ActionAid-Uganda,NGOs
Actions et Interventions pour le Développement et l'Encadrement Social,NGOs
Actions pour la Protection et l’Encadrement de l’Enfant,NGOs
Actions pour le Developpement Integre en Mileu Rural,NGOs
Active Development Aid,NGOs
Active Learning Network for Accountability and Performance,NGOs
Ad Council,NGOs
ADA,NGOs
Admira,NGOs
ADRA Cambodia,NGOs
ADRA Canada,NGOs
ADRA Denmark,NGOs
ADRA Germany,NGOs
ADRA Nepal,NGOs
ADRA PASMIC,NGOs
ADRA Sweden,NGOs
ADRA UK,NGOs
ADRA Yemen,NGOs
ADRA Zimbabwe,NGOs
ADRA/SCDO,NGOs
ADRA-Haiti,NGOs
Advancement for Small Enterprise Programme,NGOs
Adventist Development and Relief Agency ,NGOs
Adventist Development and Relief Agency - Nepal,NGOs
Adventist Development and Relief Agency (New Zealand),NGOs
Advocates Coalition for Rights and Development,NGOs
Aertze der Welt e.V.,NGOs
Aerzte für die Dritte Welt,NGOs
Afghan Development Association,NGOs
Afghan Global Development Organization,NGOs
Afghan Health & Development Services,NGOs
Afghan Health and Social Assistance Organisation,NGOs
Afghan Mobile Reconstruction Association,NGOs
Afghan NGO Security Office,NGOs
Afghan Women Association for Rehabilitation & Development,NGOs
Afghanaid,NGOs
Afghanischer Arzteverein in Deutschland e.V.,NGOs
Afghanistan Center for Training and Development,NGOs
Afghanistan Demain,NGOs
Afghanistan Development & Educational Organization,NGOs
Afghanistan Landmine Survivors' Organisation,NGOs
Afghanistan Solidarity Organization,NGOs
Afghanistan-Hilfe e.V.,NGOs
Afghanistankomiteen i Norge,NGOs
Africa 2000 Network,NGOs
Africa Development Corps,NGOs
Africa Directo,NGOs
Africa Humanitarian Action,NGOs
African Child Outreach Trust,NGOs
African Commission Human and People's Rights,NGOs
African Development and Emergency Organisation,NGOs
African Development Solutions,NGOs
African Educational Trust,NGOs
African Medical and Research Foundation,NGOs
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs
African Rescue Committee,NGOs
African Revival Ministries,NGOs
Africare,NGOs
Africare ,NGOs
Africare/Catholic Relief Services,NGOs
Afrique Verte Mali,NGOs
Afrique Verte Niger,NGOs
Aga Khan Foundation Tajikistan,NGOs
AGEF,NGOs
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs
Agency for Assistance and Development of Afghanistan,NGOs
Agency for Cooperation and Research in Development,NGOs
Agency for Co-operation and Research in Development,NGOs
Agency for Peace and Development,NGOs
Agency for Rehabilitation and Development,NGOs
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs
Agenzia Italiana Risposta Emergenze,NGOs
Agricultural Cooperative Development InterNational,NGOs
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,NGOs
Agricultural Development Association,NGOs
Agricultural Development Association (PARC),NGOs
Agricultural Development Organisation,NGOs
Agronomes et Vétérinaires Sans Frontières,NGOs
AGROSPHERE,NGOs
AH Dames Suisse,NGOs
Aid for Refugees and Orphans,NGOs
Aide à l'Enfance de Canada,NGOs
Aide à l''Enfance de l''Inde,NGOs
Aide et Action,NGOs
Aide Médicale  InterNationale ,NGOs
AÏNA (Afghanistan),NGOs
AISHA Association for Woman and Child Protection,NGOs
Akkar Network for Development,NGOs
Aktion Afrika Hilfe,NGOs
Al Ihsan NGO,NGOs
Al Mamoura Humanitarian Establishment,NGOs
Al Manar Voluntary Organization,NGOs
Al Zubair Charity Organisation,NGOs
Al-Ahleya Association for the development of palm and dates,NGOs
Al-Amal Charity Organization for the Disabled,NGOs
Alaska Sudan Medical Project,NGOs
ALDHU - Latin American Association for Human Rights ,NGOs
Alfajr Palestinian Youth Association,NGOs
Alive and kicking,NGOs
Al-Khanjar Foundation,NGOs
All Hands Volunteers (previously Hands On Disaster Response),NGOs
Allianz Mission,NGOs
Almanar Voluntary Organization,NGOs
Almassar Charity Organization for Nomads,NGOs
ALNAP - Active Learning Network for Accountability and Performance,NGOs
Alnour Wal Amal Association,NGOs
Alola Foundation,NGOs
Alpha Ujuvi,NGOs
Alpistan,NGOs
Alsalam Organization for Rehabilitation and Development,NGOs
Alternative/SCF-UK,NGOs
Aman Organization,NGOs
AMDA InterNational,NGOs
AMEL,NGOs
American Center for InterNational Labor,NGOs
American Charities for Palestine,NGOs
American Council for Voluntary InterNational Action,NGOs
American Friends Service Committee,NGOs
American Near East Refugee Aid,NGOs
American Rescue Committee,NGOs
AMICA e.V,NGOs
Amica hilft in Bosnien e.V.,NGOs
Amis des Personnes en Détresse,NGOs
Amnesty InterNational Norge,NGOs
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs
AMURT/Ananda Marga Universal Relief Team (USA),NGOs
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs
ANSO / IRC,NGOs
Antenna Technologies Grands Lacs (ATGL),NGOs
APHEDA,NGOs
APOPO,NGOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs
Apostolic Christian World Relief,NGOs
Appui aux Femmes Démunies et Enfants Marginalisés,NGOs
AQUADEV,NGOs
Arab Agronomist Association,NGOs
Arab Fund for Human Rights,NGOs
Arab Network for Tolerance,NGOs
Arab Reporters for Investigative Journalism,NGOs
Arab Women Association,NGOs
Aragti Relief and Development Organization,NGOs
ARC EN CIEL,NGOs
Arche Nova E.V. - Initiative for People in Need,NGOs
Armée du salut,NGOs
Armée du Salut Kalemie,NGOs
Armenian Relief Society,NGOs
ARTICLE 19,NGOs
Article 36,NGOs
"Arts for Peace	",NGOs
Asamblea De Cooperacion Por La Paz,NGOs
ASASE,NGOs
ASCHIANA,NGOs
ASIA Onlus,NGOs
Asian Disaster Preparedness Centre,NGOs
Asociacion Ben por la Infancia,NGOs
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs
Asociación de Trabajadores y Tecnicos Sin Fronteras,NGOs
Asociación de Trabajadores y Técnicos Sin Fronteras,NGOs
Asociación ONGD Cives Mundi,NGOs
asociacion para la cooperacion con el sur,NGOs
Asociación Salvadoreña de Ayuda Humanitaria,NGOs
ASSABIL,NGOs
Assessment Capacities Project,NGOs
Assistance Mission Africa,NGOs
Assisting Marsh Arabs and Refugees,NGOs
Associate in Community Development,NGOs
Association Agropastorale de NDA,NGOs
Association Centrafricaine pour le Développement Economique et Social,NGOs
Association des Cadres Musulmans de Centrafrique,NGOs
Association des Femmes pour la Promotion de l'Entreprenariat,NGOs
Association Develop Horn,NGOs
Association for Aid and Relief,NGOs
Association for Aid and Relief Japan,NGOs
"Association for Cooperation, Interchange and Culture",NGOs
Association for Empowerment of Persons with Disabilities,NGOs
Association for Environment Management and Development,NGOs
"Association for Forests, Development and Conservation",NGOs
Association for Gender Awareness and Human Empowerment,NGOs
Association for Humanitarian Development,NGOs
Association for Integrated Rural Development,NGOs
Association for Promoting Social Action,NGOs
Association for the Prevention of Torture,NGOs
Association française pour la prévention des catastrophes naturelles,NGOs
Association Francois-Xavier Bagnoud,NGOs
Association HIMAYA,NGOs
Association Humanitaire AKAMASOA,NGOs
Association Idée-elles,NGOs
Association InterNationale des Soldats de la Paix,NGOs
Association Locale pour le Développement Intégral,NGOs
Association LRC,NGOs
Association Luxembourg Pérou,NGOs
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs
Association Medina,NGOs
Association Morija,NGOs
Association of Christian Resource Organizations Serving Sudan,NGOs
Association of Development Awareness and Motivation,NGOs
Association of International Development Agencies,NGOs
Association Persis Valais,NGOs
Association pour la Coopération Technique et au Développement,NGOs
Association pour la protection de l'enfant de la guerre,NGOs
Association pour la Santé Familiale (ASF),NGOs
"Association pour la Solidarité, le Développement et l'Intégration Sociale",NGOs
Association pour le développement social et la sauvegarde de l’environnement,NGOs
Association pour le Progres et la Defense des Droits des Femmes,NGOs
Association rwandaise des conseillers en traumatisme ,NGOs
Associazione Amici dell’Oasis Togo,NGOs
Associazione Internazionale Volontari Laici,NGOs
Associazione Italiana Amici di Raoul Follereau,NGOs
Associazione Italiana per la Solidarietà tra I Popoli,NGOs
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),NGOs
Associazione par la Solidarieta Internazionale in Asia,NGOs
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs
Associazione per la Participazione allo Svillupo,NGOs
ASUR - Appui aux populations déplacées,NGOs
Asylum Access,NGOs
Atlas Alliance,NGOs
Atlas Logistique,NGOs
Atlasalliansen,NGOs
AUSTCARE - Australian Care for Refugees,NGOs
Australian Volunteers InterNational,NGOs
Australians Care for Refugees,NGOs
Avenir pour les orphelins au Burundi,NGOs
Aviation Sans Frontieres,NGOs
Aviation Sans Frontieres Belgium,NGOs
Aviation Sans Frontieres France,NGOs
Avocats Sans Frontieres,NGOs
AVSF - Agronomes y Veterinaries sans Frontières,NGOs
Aweil Relief Agency for Reintegration and Development,NGOs
AWWD,NGOs
Azat Foundation,NGOs
Azza Women Association,NGOs
Ba Futuru / For The Future,NGOs
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs
Badin Development Organization,NGOs
Bakpiny Community Development Agency,NGOs
Balkanactive van de gemeenten,NGOs
Balochistan Environmental and Educational Journey,NGOs
Balochistan Rural Development Society,NGOs
Bangladesh Rural Advancement Committee,NGOs
Baptist Aotearoa NZ Aid,NGOs
Barneombudet,NGOs
Basmeh and Zeitooneh - Lebanese Association,NGOs
BBC Media Action,NGOs
BBC World Service Trust,NGOs
Benposta Nación de Muchachos,NGOs
Bent-e-Hawa Peace and Development Organization,NGOs
Berkat,NGOs
BHN Association -Telecom for Basic Human Needs,NGOs
Bienvenu Refugee Shelter,NGOs
Blés du désert,NGOs
BRASCRI ,NGOs
Bread for the World,NGOs
Brigadas Internacionales de Paz,NGOs
Bright Future Organization,NGOs
Brookings Institute,NGOs
Buddhistforbundet,NGOs
Build Change,NGOs
Bulay Development Organization,NGOs
Bureau Diocésain de Développement de Kindu (BDD/KINDU),NGOs
Burundikids e.V.,NGOs
Business & Human Rights Resource Centre,NGOs
Cairo Institute for Human Rights Studies,NGOs
Cambodian Mine Action Centre,NGOs
Campagne Suisse Contre les Mines Antipersonnel,NGOs
Canada InterNational Demining Corps,NGOs
CANADEM,NGOs
Canadian Catholic Organization for Development and Peace,NGOs
Canadian Food for the Hungry InterNational,NGOs
Canadian Journalist/Free Expr,NGOs
Canadian Journalists Free Expression,NGOs
Canadian Journalists Free Expression ,NGOs
Canadian Physicians for Aid and Relief,NGOs
Candle Light,NGOs
CARAES,NGOs
CARE and SC/US,NGOs
CARE Austria,NGOs
CARE Canada,NGOs
Care Czech Republic,NGOs
Care for Children and Old Age in South Sudan,NGOs
CARE France,NGOs
Care Germany,NGOs
CARE Kenya,NGOs
CARE Luxembourg,NGOs
CARE Myanmar,NGOs
CARE Netherlands,NGOs
CARE Norway,NGOs
Care Peru,NGOs
CARE Somalia,NGOs
Care Sudan,NGOs
CARE USA,NGOs
CareFusion Corporation,NGOs
CARE-UK,NGOs
CARITAS Allemagne (DCV),NGOs
Caritas Australia,NGOs
CARITAS BUKAVU,NGOs
CARITAS BUNIA,NGOs
CARITAS BUTEMBO,NGOs
Caritas Chad,NGOs
Caritas Congo,NGOs
Caritas Czech Republic,NGOs
Caritas Denmark,NGOs
CARITAS DEV GOMA,NGOs
Caritas Dev Kalemie,NGOs
Caritas Développement,NGOs
Caritas Développement DRC,NGOs
CARITAS DUNGU,NGOs
Caritas France,NGOs
Caritas Germany,NGOs
Caritas Haiti,NGOs
Caritas Jerusalem,NGOs
Caritas Kananga,NGOs
Caritas Katanga,NGOs
CARITAS KINDU,NGOs
Caritas Lebanon Migrants Center,NGOs
Caritas Manila,NGOs
CARITAS Mbandaka,NGOs
CARITAS MBUJIMAYI,NGOs
Caritas Norway,NGOs
Caritas Sweden,NGOs
CARITAS TCHUMBE,NGOs
CARITAS UVIRA,NGOs
Catholic Commisssion for Justice and Peace,NGOs
Catholic Development Commission,NGOs
Catholic Medical Missons Board,NGOs
Catholic Migration Commission,NGOs
Catholic Peace Movement,NGOs
Caucasus Environmental NGO Network,NGOs
Caucasus Environmental NGO Network ,NGOs
CAUSE Canada,NGOs
Cavish Development Foundation,NGOs
CCD,NGOs
CDA Collaborative Learning Projects. Inc.,NGOs
CEMUBAC (Belgian medical NGO),NGOs
Center for Human Rights and Democratic Participation,NGOs
Center for International Studies and Cooperation,NGOs
CENTER FOR JUSTICE AND INT. LAW,NGOs
Center for Peace and Democracy,NGOs
Center for the Defence of the Individual,NGOs
Center for Victims of Torture,NGOs
Center of Excellence for Rural Development,NGOs
Centers for Disease Control Foundation,NGOs
Centre De Crise,NGOs
Centre de Recherche Santé,NGOs
Centre de Réflexion Europe Afrique ,NGOs
Centre de Support en Santé Internationale,NGOs
Centre for Common Ground in Angola (CCG),NGOs
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,NGOs
Centre Libanais des Droits Humains,NGOs
Centre palestinien des droits de l'homme,NGOs
Centro de Estudios Rurales y de Agricultura Internacional,NGOs
Centro de Estudios y Prevencion de Desastres,NGOs
Centro d'Informazione e Educazione allo Sviluppo,NGOs
CHA - Coordination of Humanitarian Assistance,NGOs
Charitable Development Association,NGOs
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs
Charitable Society for Social Welfare,NGOs
Charities Aid Foundation,NGOs
Charity Palestinian NGO,NGOs
CHF InterNational,NGOs
Child Advocacy InterNational,NGOs
Child Care Society,NGOs
Child Rights Connect,NGOs
ChildFund Ireland,NGOs
Children Assistance Programme ,NGOs
Children without Borders,NGOs
Children's Aid Direct,NGOs
Children's Fund of North Ossetia,NGOs
Children's Relief,NGOs
Child's Earth Society in Iraq,NGOs
China Foundation for Poverty Alleviation,NGOs
Chrétiens pour le Sahel,NGOs
Christian Aid,NGOs
Christian Aid-UK,NGOs
Christian Blind Mission,NGOs
Christian Care,NGOs
Christian Children's Fund ,NGOs
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs
Christian Children's Fund of Canada,NGOs
"Christian Children's Fund, USA",NGOs
Christian Commission for Development in Bangladesh,NGOs
Christian Mission Aid,NGOs
Christian Mission for Development,NGOs
Christian Outreach Relief and Development,NGOs
Christian Recovery and Development Agency,NGOs
Christian Reformed World Relief Committee,NGOs
Christian Relief Network,NGOs
Christian Solidarity International,NGOs
Christoffel-Blindenmission,NGOs
Church World Service,NGOs
CINS -  Cooperazione Italiana Nord Sud,NGOs
CISANET/CSCQBE/MEJN,NGOs
CitiHope InterNational,NGOs
Citizen's Commission for Human Development,NGOs
"Citizens' Disaster Response Center, Inc",NGOs
Citizens Network for Foreign Affairs,NGOs
Civi Development Organization,NGOs
Civic Assistance Committee,NGOs
Civic Coalition for Palestinian Rights in Jerusalem,NGOs
Clear Path International,NGOs
Cleared Ground Demining Ltd.,NGOs
Clowns without Borders,NGOs
CMS Ireland,NGOs
Coalition for InterNational Justice,NGOs
Coalition for the InterNational Criminal Court,NGOs
Coalition of Dutch NGOs,NGOs
Coalition to Stop Use of Child Soldiers,NGOs
CODEC,NGOs
Collaborative for Development Action,NGOs
Collectif du developpement et du secours syrien,NGOs
Collectif Haïti de France,NGOs
Colombia Campaign to Ban Landmines,NGOs
Colombiana Contra Minas,NGOs
Comision de Derechos Humanos,NGOs
Comision Espanôla de Ayuda al Refugiado,NGOs
Comitato Collaborazione Medica,NGOs
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,NGOs
Comitato InterNationale per lo Sviluppo dei Popoli,NGOs
Comité d'Aide Médicale,NGOs
Commission d'Entraide pour les Migrants et les Refugies InterNational,NGOs
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs
Communaute des Eglises de Pentecote en Afrique,NGOs
Communautés locales FYROM,NGOs
Communita Impegno Servizio Volontariato,NGOs
Community Aid Abroad,NGOs
Community and Family Services International,NGOs
Community Appraisal & Motivation Program,NGOs
Community Bridge Initiative,NGOs
Community Development Association,NGOs
Community Development Organization,NGOs
Community Development Trust,NGOs
Community Health and AIDS Mitigation Project,NGOs
Community in Need Aid,NGOs
Community Media Network,NGOs
Community Technology Development Trust,NGOs
Community Trust Fund,NGOs
CONCERN,NGOs
Concern Universal,NGOs
CONCORD,NGOs
Confident Children out of Conflict,NGOs
Conflict Dynamics International,NGOs
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs
Consortium for Assistance to Refugees and the Displaced in Indonesia ,NGOs
Convoy of Hope,NGOs
Coof Havanna,NGOs
Cooperative for Assistance and Relief Everywhere,NGOs
Cooperative Housing Foundation International,NGOs
Cooperazione E Sviluppo - CESVI,NGOs
Cooperazione Internazionale Sud Sud,NGOs
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs
Coordination Of Rehabilitation Services For Afghanistan,NGOs
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs
Corporación Desarollo y Paz del Magdalena Medio,NGOs
CPH - Comité Protos Haïti,NGOs
CRAFOD,NGOs
CRC - NGO Group for the Convention on the Rights of the Child,NGOs
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs
Crisis Action,NGOs
Crisis Management Initiative,NGOs
Cross InterNational Cathoilc Outreach,NGOs
Culture and Free Thought Association,NGOs
Custodia Franciscana en Tierra Santa,NGOs
CWS Japan,NGOs
Czech Evang. Diacony,NGOs
Daaralsalam Development Association,NGOs
Dabane Trust,NGOs
DAC - Danish Afghan Committee,NGOs
DACAAR,NGOs
Damascus People Participation,NGOs
Danchurchaid,NGOs
Danchurchaid / Danish De-mining Group,NGOs
Danish Association for InterNational Co-operation,NGOs
Danish Committee for Aid to Afghan Refugees,NGOs
Danish De-mining Centre,NGOs
Danish De-mining Group,NGOs
Danish InterNational Life Saving Association,NGOs
Danish Mission Council,NGOs
Danish Mission Council Development,NGOs
Danish People's Aid,NGOs
Danish People's Relief Association,NGOs
Danish Refugee Board,NGOs
Danish Refugee Council/ICVA,NGOs
Danish-ethiopia commen initiative,NGOs
Danmission,NGOs
Darya Organization for Developing Woman and Community,NGOs
dawa Islamic organization,NGOs
De Norske Pinsemenigheters Ytremisjon,NGOs
Defense for Children InterNational,NGOs
DEH Relief and Development Organization,NGOs
Delvon Assistance for Social Harmony (DASH),NGOs
Demining Agency for Afghanistan,NGOs
DEMIRA,NGOs
Democratic Iraqi Women Group,NGOs
Den norske Helsingforskomite,NGOs
Det Norske Menneskerettighetsfond,NGOs
Det norske Misjonsforbund,NGOs
Detachement d'Intervention contre les Catasrophes et de Formation,NGOs
Development Aid from People to People,NGOs
Development Alternatives Inc.,NGOs
Development and Regeneration Association,NGOs
Development Education Network for Liberia,NGOs
Development Frontiers International,NGOs
Development Fund,NGOs
Development Workshop,NGOs
Developmental Action Without Border (Nabaa),NGOs
Developpement & Paix,NGOs
"Diakonia, Sweden",NGOs
Diakonie Austria,NGOs
Diakonie Emergency Aid,NGOs
DIAKONISCHES WERK DER EKD,NGOs
Diamer Poverty Alleviation Programme,NGOs
DIGNI,NGOs
Direct Aid,NGOs
Direct Relief InterNational,NGOs
DirectAid,NGOs
Disabled Children's Care Organization,NGOs
Disaster Mitigation Institute,NGOs
Disaster Relief Agency,NGOs
Docs Heal Africa,NGOs
"DOCS HEAL AFRICA, Goma",NGOs
Doctors of the World,NGOs
Documentation Center of  Cambodia,NGOs
Dominica Red Cross Society,NGOs
Double Harvest,NGOs
Douleurs san Frontières,NGOs
DROPS,NGOs
DSI - Danish Council of Organizations of Disabled People,NGOs
Duhok Organization for Volunteer Youth,NGOs
Eastern Community Development and Humanitarian Organization,NGOs
Edinburgh Direct Aid,NGOs
EducAid Onlus,NGOs
Education Action InterNational,NGOs
Education Health Social Awareness and Rehabilitation,NGOs
EFICOR - Evangelical Fellowship of India Commission on Relief ,NGOs
Eid Charity,NGOs
El Ruhama Organization for Development and Humanitarian Aid,NGOs
Electriciens sans frontières,NGOs
EMERGENCY,NGOs
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs
Emergency Architects,NGOs
Emergency Nutrition Network,NGOs
Emergency ONG,NGOs
Emergency Relief InterNational,NGOs
Emmanuel InterNational,NGOs
Emmanuel InterNational of Canada,NGOs
Emmaüs InterNational,NGOs
Enfance Tiers Monde asbl,NGOs
Enfants de Cusco,NGOs
Enfants des rizières,NGOs
Enfants du Monde,NGOs
Enfants du Monde - Droits de l'Homme,NGOs
Enfants et Développement,NGOs
Enfants Refugies du Monde ,NGOs
Eng Oppen Hand fir Malawi,NGOs
Entrepreneurs du Monde,NGOs
Environment Africa,NGOs
EPER Lausanne,NGOs
EPI-Center,NGOs
EQUIP Liberia,NGOs
ERIC,NGOs
"Erikshjälpen, Sweden",NGOs
Estonian Refugee Council,NGOs
ETANA Press,NGOs
Ethiopian Mine Action Center,NGOs
Ethiopian Muslims Relief and Development Association,NGOs
EuronAid,NGOs
European Centre for Common Ground/Common Ground,NGOs
European Centre for Conflict Prevention,NGOs
European Committe for Agriculture and Training,NGOs
European Perspective,NGOs
Evangelical Children Rehabilitation Programme,NGOs
Evangelisches Werk für Diakonie und Entwicklung e.V.,NGOs
EXNORA,NGOs
Fact Mutare,NGOs
Fairmed,NGOs
Family Planning Organization of the Philippines,NGOs
Fangak Community Development Initiative,NGOs
FARM Africa,NGOs
Farm Community Trust of Zimbabwe,NGOs
Farmer's Life Development Agency,NGOs
Fashoda Youth Forum,NGOs
FED. I. D. Ligues/Droits l'homme,NGOs
Federation des ONG laiques à Vocation Economique du Congo ,NGOs
Feed My Starving Children,NGOs
Feed the Children,NGOs
Fellowship for African Relief,NGOs
Fellowship for African Relief ,NGOs
FGMed,NGOs
Fida InterNational (previously Finnish Free Foreign Mission),NGOs
Film Aid,NGOs
FilmAid,NGOs
Finnchurchaid,NGOs
Finnchurchaid/Mines Advisory Group,NGOs
Fishermen of Christ Incorporated Philippines,NGOs
Flemish Office for Development Co-Operation and Technical Assistance,NGOs
Flood Damage Rehabilitation Committee,NGOs
Flüchtlingshilfe Langen e.V.,NGOs
Folkekirkens Nodhjaelp,NGOs
Fondation de l'Ordre de Malte pour le Liban,NGOs
Fonds voor OntwikkelingsSamenwerking,NGOs
FONKOZE,NGOs
Food for the Hungry ,NGOs
Food Security Network,NGOs
Formal Education Network for Private Schools,NGOs
Forum for African Women Educationalist Gambia Chapter,NGOs
Forum for Early Warning ,NGOs
FORUT,NGOs
FOSENET - NGO Food Security Network - Zimbabwe,NGOs
Foundation for Rural Development,NGOs
Four Homes of Mercy,NGOs
Foyer des Jeunes de Morne l'Hopital,NGOs
Framtiden i våre hender,NGOs
France Terre d’Asile,NGOs
Freedom of Expression and of Association,NGOs
French NGOs,NGOs
Frère des Hommes,NGOs
Frères des Hommes,NGOs
Freundschaftsbrucke Deutschland e.V.,NGOs
Friedensdorf InterNational,NGOs
Friends of Children Society,NGOs
Friendship,NGOs
Friendship Luxembourg,NGOs
Front Line,NGOs
Frontier Primary Health Care,NGOs
Frontiers Ruwad,NGOs
Fundación Acción Contra el Hambre,NGOs
"FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALD Y LA SOLIDARIDAD INTERNACIONAL",NGOs
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs
Fundación Halü Bienestar Humano,NGOs
Fundacion para la Libertad de Prensa,NGOs
Fundación Plan,NGOs
Future of Orphans,NGOs
FXB -  François-Xavier Bagnoud,NGOs
Galicia Humanitarian Agency Foundation,NGOs
Gargaaar Relief and Development Organization,NGOs
Gaza Community Mental Health Programme,NGOs
GEAD,NGOs
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),NGOs
Geneva Call,NGOs
