Recipient.Organization,deliverychannels
"Seismic Research Unit, Univ. of West Indies",NGOs and CSOs
Pan American Health and Education Foundation,NGOs and CSOs
PUNTO SUD,NGOs and CSOs
Docs Heal Africa,NGOs and CSOs
American Council for Voluntary International Action,NGOs and CSOs
St. Josephs Care and Support Trust at Sizanani Village,NGOs and CSOs
Horizonte Logico,NGOs and CSOs
University of Capetown,NGOs and CSOs
AsociaciÛn de Trabajadores y TÈcnicos Sin Fronteras,NGOs and CSOs
International Partnership for Human Development,NGOs and CSOs
CDA Collaborative Learning Projects. Inc.,NGOs and CSOs
CARE Somalia,NGOs and CSOs
Quaker United Nations Office,NGOs and CSOs
FAFO,NGOs and CSOs
Norske Menneskerettighetsfond,NGOs and CSOs
Norsk senter for menneskerettigheter,NGOs and CSOs
Norske Pinsemenigheters Ytremisjon,NGOs and CSOs
SOS Children's Villages,NGOs and CSOs
FORUT,NGOs and CSOs
Stiftelsen Oljeberget,NGOs and CSOs
"PRIO - International Peace Research Institute, Oslo",NGOs and CSOs
Norsk Fredssenter,NGOs and CSOs
Det norske Misjonsforbund,NGOs and CSOs
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs and CSOs
International Commission of Jurists,NGOs and CSOs
Human Rights House Foundation,NGOs and CSOs
Cleared Ground Demining Ltd.,NGOs and CSOs
Coalition to Stop Use of Child Soldiers,NGOs and CSOs
Rehabilitation International,NGOs and CSOs
Nobels Fredssenter,NGOs and CSOs
Palestinakomiteen i Norge,NGOs and CSOs
NGO FORUM,NGOs and CSOs
The Dui Hua Foundation,NGOs and CSOs
World Vision Hong Kong,NGOs and CSOs
OXFAM Hong Kong,NGOs and CSOs
ZAYED Foundation,NGOs and CSOs
World Research Foundation,NGOs and CSOs
Plan Sweden,NGOs and CSOs
Enfants des riziËres,NGOs and CSOs
Stichting CARE Nederland,NGOs and CSOs
Centre for Safety and Development,NGOs and CSOs
DEMIRA,NGOs and CSOs
World Vision Uganda,NGOs and CSOs
CANADEM,NGOs and CSOs
World Agency of Planetary Monitoring and Earthquake Risk Reduction,NGOs and CSOs
Swisscontact,NGOs and CSOs
Association franÁaise pour la prÈvention des catastrophes naturelles,NGOs and CSOs
War Child,NGOs and CSOs
Oxford University,NGOs and CSOs
"Universidad Nacional a Distancia, Costa Rica",NGOs and CSOs
The Sisters of Charity,NGOs and CSOs
ADA,Public Sector
Instituto Cabo Verdiano de Accao Social Escolar,NGOs and CSOs
Taiwan Grassroots Women Workers' Centre,NGOs and CSOs
NGO Consortium,NGOs and CSOs
BlÈs du dÈsert,NGOs and CSOs
GRET,NGOs and CSOs
Alnour Wal Amal Association,NGOs and CSOs
Caritas Australia,NGOs and CSOs
Aerzte f¸r die Dritte Welt,NGOs and CSOs
Association Luxembourg PÈrou,NGOs and CSOs
Berkat,NGOs and CSOs
DROPS,NGOs and CSOs
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",NGOs and CSOs
Samusocial Peru,NGOs and CSOs
Citizens Network for Foreign Affairs,NGOs and CSOs
Alola Foundation,NGOs and CSOs
Humanitarian Aid Relief Trust,NGOs and CSOs
Women for Women International,NGOs and CSOs
Catholic Commisssion for Justice and Peace,NGOs and CSOs
Irish Centre for Human Rights,NGOs and CSOs
CARE and SC/US,NGOs and CSOs
Humedia International,NGOs and CSOs
Danish Institute for Human Rights,NGOs and CSOs
Global Resource Services,NGOs and CSOs
Hunger Alert,NGOs and CSOs
Hadia Medical,NGOs and CSOs
FundaciÛn Apoyar,NGOs and CSOs
Sovereign Military Order of Malta,NGOs and CSOs
Centre for International Studies and Cooperation,NGOs and CSOs
AGEF,NGOs and CSOs
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs and CSOs
Muslim Aid,NGOs and CSOs
Right to Live Society,NGOs and CSOs
Instituto de Estudios del Hambre,NGOs and CSOs
Objectif Tiers Monde,NGOs and CSOs
Aide ‡ l''Enfance de l''Inde,NGOs and CSOs
International Humanitarian Service,NGOs and CSOs
CODEC,NGOs and CSOs
MÈdecins du Monde France,NGOs and CSOs
Tzu Chi Foundation,NGOs and CSOs
Jairos Jiri Association,NGOs and CSOs
Point of Peace,NGOs and CSOs
TERMA FOUNDATION,NGOs and CSOs
Det Norske Menneskerettighetsfond,NGOs and CSOs
Den norske Helsingforskomite,NGOs and CSOs
Civic Assistance Committee,NGOs and CSOs
Malaria Consortium,NGOs and CSOs
Foundation Vida Peru,NGOs and CSOs
H¯yskolen i Buskerud,NGOs and CSOs
De Norske Pinsemenigheters Ytremisjon,NGOs and CSOs
CENTER FOR JUSTICE AND INT. LAW,NGOs and CSOs
Kings College London,NGOs and CSOs
Helse Bergen HF,NGOs and CSOs
Universitetet i Oslo,NGOs and CSOs
Abo Akademi University,NGOs and CSOs
Colombia Campaign to Ban Landmines,NGOs and CSOs
"Sunnaas sykehus HF, Forskningsavdelingen",NGOs and CSOs
Barneombudet,NGOs and CSOs
Skeiv Solidaritet,NGOs and CSOs
INST. UNIV. DE HAUTES ETUDES INT.,NGOs and CSOs
Verein Lichtblick,NGOs and CSOs
Children's Fund of North Ossetia,NGOs and CSOs
Verein Hilfe fur Bangladesch,NGOs and CSOs
Global Rights,NGOs and CSOs
Impact Forum Norway,NGOs and CSOs
Canadian Journalists Free Expression,NGOs and CSOs
Rural Development Foundation,NGOs and CSOs
Community Trust Fund,NGOs and CSOs
Candle Light,NGOs and CSOs
ABC Children's Aid,NGOs and CSOs
Front Line,NGOs and CSOs
FED. I. D. Ligues/Droits l'homme,NGOs and CSOs
The Rafto Foundation,NGOs and CSOs
NTNU,NGOs and CSOs
Regnskogfondet,NGOs and CSOs
International Media Support,NGOs and CSOs
African Commission Human and People's Rights,NGOs and CSOs
Documentation Center of  Cambodia,NGOs and CSOs
The Bridge Fund,NGOs and CSOs
Defense for Children International,NGOs and CSOs
The Graduate Center,NGOs and CSOs
Just Associates,NGOs and CSOs
Campagne Suisse Contre les Mines Antipersonnel,NGOs and CSOs
Transparencia Venezuela,NGOs and CSOs
World Vision Kenya,NGOs and CSOs
CARE Kenya,NGOs and CSOs
International Security Sector Advisory Team,NGOs and CSOs
Netherlands Refugee Foundation,NGOs and CSOs
Centre d'action pour le dÈvÈloppement,NGOs and CSOs
Global Health Foundation,NGOs and CSOs
Palestinian Agricultural Relief Committees,NGOs and CSOs
Solidarit‰t Dritte Welt,NGOs and CSOs
Stiftung Kasipiti,NGOs and CSOs
Avocats Sans Frontieres,NGOs and CSOs
Ba Futuru / For The Future,NGOs and CSOs
Social Life and Agricultural Development Organisation,NGOs and CSOs
Avenir pour les orphelins au Burundi,NGOs and CSOs
Unity and Cooperation for the Development of People,NGOs and CSOs
Plan Timor-Leste,NGOs and CSOs
Mercy Malaysia,NGOs and CSOs
Somali Community Literacy Center,NGOs and CSOs
Thai National AIDS Foundation,NGOs and CSOs
Mercy-USA for Aid and Development,NGOs and CSOs
GlobalMedic,NGOs and CSOs
Eng Oppen Hand fir Malawi,NGOs and CSOs
Indesch Patenschaften,NGOs and CSOs
Gemeinn¸tzige Entwicklungszusammenarbeit GmbH (GEZA),NGOs and CSOs
FilmAid,NGOs and CSOs
Development and Peace,NGOs and CSOs
Plan Canada,NGOs and CSOs
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs and CSOs
TrainAid International,NGOs and CSOs
NGO Mondo,NGOs and CSOs
MÈdecins du Monde Suisse,NGOs and CSOs
MÈdecins du Monde Canada,NGOs and CSOs
Digicel Foundation,NGOs and CSOs
Hilfswerk Liechtenstein,NGOs and CSOs
MapAction,NGOs and CSOs
World Vision Sudan,NGOs and CSOs
Protos,NGOs and CSOs
Association Humanitaire AKAMASOA,NGOs and CSOs
Valid Nutrition,NGOs and CSOs
PACT Myanmar,NGOs and CSOs
Medical Teams International,NGOs and CSOs
Association Persis Valais,NGOs and CSOs
Association IdÈe-elles,NGOs and CSOs
IICD - International Institute for Communication and Development,NGOs and CSOs
Afghanistan Demain,NGOs and CSOs
MÈdecins sans FrontiËres - Luxembourg,NGOs and CSOs
Institute of Development Studies,NGOs and CSOs
FONKOZE,NGOs and CSOs
IDE Myanmar,NGOs and CSOs
Help the Aged,NGOs and CSOs
Focus Humanitarian Assistance,NGOs and CSOs
Network on Humanitarian Assistance,NGOs and CSOs
Fondasyon Kole Zepol,NGOs and CSOs
VETAID,NGOs and CSOs
Africa Muslims Agency (Johannesburg),NGOs and CSOs
Somali Education and Health Organisation,NGOs and CSOs
Home for Human Rights,NGOs and CSOs
Sewa Lanka Foundation,NGOs and CSOs
SOLIDAR INGO CONSORTIUM,NGOs and CSOs
OXFAM International,NGOs and CSOs
H¯gskolen i Oslo,NGOs and CSOs
Partner Aid International e.V.,NGOs and CSOs
Thirst No More,NGOs and CSOs
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs and CSOs
Sawaid Health Organization,NGOs and CSOs
InterAct,NGOs and CSOs
The Hebrew University of Jerusalem,NGOs and CSOs
Stiftelsen for en kritisk og uavhengig presse,NGOs and CSOs
Geneva Institute for Human Rights,NGOs and CSOs
Medical Relief Society,NGOs and CSOs
Nordic Institute of Asian Studies,NGOs and CSOs
Comision de Derechos Humanos,NGOs and CSOs
Institute for International Co-operation and Development,NGOs and CSOs
Life for Relief and Development,NGOs and CSOs
Medicos sin Fronteras,NGOs and CSOs
FUNDACION CIPPEC,NGOs and CSOs
AMMAN CENTER HUMAN RIGHTS STUDIES,NGOs and CSOs
ARTICLE 19,NGOs and CSOs
EQUITAS - International Centre for Human Rights Education,NGOs and CSOs
MÈdecins sans FrontiËres - Norway,NGOs and CSOs
Rahma Islamic Relief Fund,NGOs and CSOs
Verdens Barn,NGOs and CSOs
Global Reporting Initiative,NGOs and CSOs
FONDATION POUR L INSTITUT,NGOs and CSOs
OXFAM Australia,NGOs and CSOs
Japanese NGOs,NGOs and CSOs
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,NGOs and CSOs
International Medical Corps UK,NGOs and CSOs
Culture and Free Thought Association,NGOs and CSOs
World Vision Sri Lanka,NGOs and CSOs
UniverSud-LiËge,NGOs and CSOs
Enfance Tiers Monde asbl,NGOs and CSOs
Swisspeace,NGOs and CSOs
Welfare Association,NGOs and CSOs
Caritas Jerusalem,NGOs and CSOs
Association for Promoting Social Action,NGOs and CSOs
OXFAM Quebec,NGOs and CSOs
Developpement & Paix,NGOs and CSOs
FundaciÛn Mi Sangre,NGOs and CSOs
FOCUS Humanitarian Aid,NGOs and CSOs
Caucasus Environmental NGO Network,NGOs and CSOs
Gaza Community Mental Health Programme,NGOs and CSOs
Tulane University,NGOs and CSOs
ShelterBox,NGOs and CSOs
CMS Ireland,NGOs and CSOs
War Child Canada,NGOs and CSOs
Association for Aid and Relief Japan,NGOs and CSOs
SANAD Charity Foundation,NGOs and CSOs
"Population Leadership Program, the University of Washington",NGOs and CSOs
Rufaida Health Foundation,NGOs and CSOs
Confident Children out of Conflict,NGOs and CSOs
Plan Sudan,NGOs and CSOs
Japan Emergency NGO,NGOs and CSOs
SPHERE,NGOs and CSOs
Malilangwe Trust,NGOs and CSOs
SC - Caritas,NGOs and CSOs
La ligue dÈmocratique pour les droits de la femme,NGOs and CSOs
Ruedi Leuppi Stiftung Elfenbeink¸ste,NGOs and CSOs
Millennium Relief and Development,NGOs and CSOs
Social Economical Environmental Developers,NGOs and CSOs
Reseau des Entrepreneurs Solidaires,NGOs and CSOs
Oxfam Italia,NGOs and CSOs
Action Contre la PauvretÈ (ACP),NGOs and CSOs
Africare/Catholic Relief Services,NGOs and CSOs
Plan Indonesia,NGOs and CSOs
Emergency Architects,NGOs and CSOs
Food for the Hungry,NGOs and CSOs
Wajir South Development Association,NGOs and CSOs
VISION,NGOs and CSOs
FAIRMED Foundation,NGOs and CSOs
Sarhad Rural Support Programme,NGOs and CSOs
International HIV/AIDS Alliance,NGOs and CSOs
HOPEí87 ñ Hundreds of Original Projects for Employment,NGOs and CSOs
World Congress Against the Death Penalty,NGOs and CSOs
Verein B‰r und Leu,NGOs and CSOs
Plan UK,NGOs and CSOs
Build Change,NGOs and CSOs
SOS Futures Maman,NGOs and CSOs
RCN Justice Democratie,NGOs and CSOs
Islamic Charity Association,NGOs and CSOs
Charitable Development Association,NGOs and CSOs
Jordanian Charity Association,NGOs and CSOs
Joint Research Centre,NGOs and CSOs
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs and CSOs
Stockholm International Peace Research Institute,NGOs and CSOs
Human Concern International,NGOs and CSOs
International Islamic Charitable Organization,NGOs and CSOs
Muslim Aid and GlobalMedic,NGOs and CSOs
American Charities for Palestine,NGOs and CSOs
International Council on Human Rights Policy,NGOs and CSOs
LAG - Latin-Amerikagruppene i Norge,NGOs and CSOs
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,NGOs and CSOs
Fundacion para la Libertad de Prensa,NGOs and CSOs
World Vision Pakistan,NGOs and CSOs
Human Rights Foundation,NGOs and CSOs
Protracted Relief Programme Partners (Zimbabwe),NGOs and CSOs
Japan Agency for Development and Emergency,NGOs and CSOs
Japan Center for Conflict Prevention,NGOs and CSOs
PARCIC,NGOs and CSOs
Afghanistan Landmine Survivors' Organisation,NGOs and CSOs
Troms¯ Mineskadesenter/Tromsoe Mine Victim Resource Center,NGOs and CSOs
Milinda Moragoda institute for people's empowerment,NGOs and CSOs
Sewalanka,NGOs and CSOs
Swiss Campaign to Ban Landmines,NGOs and CSOs
Forced Migration Review,NGOs and CSOs
Institutt for Sosiologi og Samfunnsgeografi,NGOs and CSOs
Survivor Corps,NGOs and CSOs
Centre de Recherche SantÈ,NGOs and CSOs
World Education,NGOs and CSOs
Scandinavian Children's Mission,NGOs and CSOs
Small Arms Survey,NGOs and CSOs
FundaciÛn Antonio Restrepo Barco,NGOs and CSOs
British Council,NGOs and CSOs
Myanmar Business Coalition on AIDS,NGOs and CSOs
North-South Institute,NGOs and CSOs
Humanitarian Outcomes,NGOs and CSOs
International Federation of Human Rights,NGOs and CSOs
PCPM - Polish Center for International Aid,NGOs and CSOs
Action SolidaritÈ Tiers Monde,NGOs and CSOs
International Law and Policy Institute,NGOs and CSOs
Auschwitz-Birkenau Foundation,NGOs and CSOs
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",NGOs and CSOs
Child Rights Information Network,NGOs and CSOs
University of Oxford - Refugee Studies Centre,NGOs and CSOs
Khalifa Bin Zayed Al Nahyan Foundation,NGOs and CSOs
Al Maktoum Foundation,NGOs and CSOs
Al-Sabeel Foundation for Social Development,NGOs and CSOs
iMMAP,NGOs and CSOs
MÈdecins du Monde Greece,NGOs and CSOs
Kohsar Welfare and Educational Society,NGOs and CSOs
Initiative for Change,NGOs and CSOs
Community Health and AIDS Mitigation Project,NGOs and CSOs
SantÈ pour le DÈveloppement et la StabilitÈ díHaÔti,NGOs and CSOs
MÈdecins du Monde Belgium,NGOs and CSOs
Rescue South Africa,NGOs and CSOs
Organisation Marocaine Des Droits de l'homme,NGOs and CSOs
Centre for Research on the Epidemiology of Disasters,NGOs and CSOs
CARE International Switzerland in Sudan,NGOs and CSOs
ACF - Canada,NGOs and CSOs
Burundikids e.V.,NGOs and CSOs
Access Aid and Development,NGOs and CSOs
Las Qorey Concern,NGOs and CSOs
ACF - USA,NGOs and CSOs
GlobalGiving,NGOs and CSOs
Afghanaid,NGOs and CSOs
The Haven Community Foundation,NGOs and CSOs
Taiwan Tzu-chi Foundation Malaysia,NGOs and CSOs
Fondation Orient Occident,NGOs and CSOs
Namibia CARES Movement,NGOs and CSOs
Polish Humanitarian Organisation,NGOs and CSOs
Caritas Lebanon Migrants Center,NGOs and CSOs
Heartland Alliance International,NGOs and CSOs
Noor Al Hussein Foundation,NGOs and CSOs
Questscope,NGOs and CSOs
Restart Center for Rehabilitation of Victims of Violence and Torture,NGOs and CSOs
Un Ponte Per,NGOs and CSOs
Qatar Charity,NGOs and CSOs
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",NGOs and CSOs
ZIF - Center for International Peace Operations,NGOs and CSOs
Association Develop Horn,NGOs and CSOs
Wabi Shelbelle Development,NGOs and CSOs
Sudan Social Development Organization,NGOs and CSOs
Centre d'Enseignement et de Recherche en Action Humanitaire,NGOs and CSOs
Foundation for the Future,NGOs and CSOs
Antares Foundation,NGOs and CSOs
Marshall Legacy Institute,NGOs and CSOs
Cooperazione Internazionale Sud Sud,NGOs and CSOs
Solidar,NGOs and CSOs
ACT Alliance / Life With Dignity,NGOs and CSOs
"Information Technology Outreach Services, U of Georgia",NGOs and CSOs
International Potato Center,NGOs and CSOs
action medeor e.V.,NGOs and CSOs
Health And Nutrition Development Society,NGOs and CSOs
Islamic Relief Pakistan,NGOs and CSOs
ChildFund International,NGOs and CSOs
University of Neuch‚tel,NGOs and CSOs
Global Public Policy Institute,NGOs and CSOs
WorldFish,NGOs and CSOs
Mercy Corps Scotland,NGOs and CSOs
Alliance for International Medical Action,NGOs and CSOs
Sports and Cooperation Network,NGOs and CSOs
Les Sarments de Lavaux,NGOs and CSOs
Medicos del Mundo Argentina,NGOs and CSOs
Myanmar NGO Contingency Plan Steering Committee,NGOs and CSOs
ACT Alliance,NGOs and CSOs
World Vision El Salvador,NGOs and CSOs
STC-NOR,NGOs and CSOs
Solidarity Group of Jubbaland,NGOs and CSOs
Caritas Switzerland,NGOs and CSOs
Kreuz des S¸dens,NGOs and CSOs
Landmine Survivors Initiatives,NGOs and CSOs
Association for Empowerment of Persons with Disabilities,NGOs and CSOs
Global Centre for the Responsibility to Protect,NGOs and CSOs
Mingalar Myanmar,NGOs and CSOs
Universidad de Chile,NGOs and CSOs
Saferworld,NGOs and CSOs
The Survivor Network Foundation and People with Disability,NGOs and CSOs
Eid Charity,NGOs and CSOs
Raf-Thani Foundation,NGOs and CSOs
Fondation Chreschte mam Sahel,NGOs and CSOs
Norsk Ressursbank for demokrati og menneskerettigheter,NGOs and CSOs
International NGO Safety Organisation,NGOs and CSOs
Arab Fund for Human Rights,NGOs and CSOs
Coalition for the International Criminal Court,NGOs and CSOs
Aragti Relief and Development Organization,NGOs and CSOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs and CSOs
Media Frontiers,NGOs and CSOs
Suwannimit Foundation,NGOs and CSOs
Sudan Integrated Mine Action Service,NGOs and CSOs
Ludwig Boltzmann Institute of Human Rights,NGOs and CSOs
KAFA Enough Violence and Exploitation,NGOs and CSOs
World Organisation Against Torture,NGOs and CSOs
International Coalition to Ban Uranium Weapons,NGOs and CSOs
Health Poverty Action,NGOs and CSOs
Pakistan Humanitarian Forum (consortium),NGOs and CSOs
Institute for Human Rights and Business,NGOs and CSOs
Institute for War and Peace Reporting,NGOs and CSOs
Baptist Aotearoa NZ Aid,NGOs and CSOs
Foundation for the Peoples of the South Pacific International,NGOs and CSOs
Insan Association,NGOs and CSOs
Democratic Control of Armed Forces,NGOs and CSOs
Economic Research Forum,NGOs and CSOs
Secours Islamique France,NGOs and CSOs
Haut ComitÈ de Secours libanais,NGOs and CSOs
Union des Organisations Syrienne de Secours MÈdicaux,NGOs and CSOs
Electriciens sans frontiËres,NGOs and CSOs
Soul of Haiti,NGOs and CSOs
Mission Enfance,NGOs and CSOs
Direct Aid,NGOs and CSOs
Gruppo per le Relazioni Transculturali,NGOs and CSOs
China Foundation for Poverty Alleviation,NGOs and CSOs
World Wildlife Fund,NGOs and CSOs
Neighbors Initiative Alliance,NGOs and CSOs
Action pour un Monde Uni,NGOs and CSOs
CARE Luxembourg,NGOs and CSOs
SWISSAID,NGOs and CSOs
Community and Family Services International,NGOs and CSOs
Cambodian Mine Action Centre,NGOs and CSOs
"Balay Mindanaw Foundation, Inc.",NGOs and CSOs
ACT Alliance / Lutheran Development Service,NGOs and CSOs
Plan Niger,NGOs and CSOs
Fiji Institution of Engineers,NGOs and CSOs
Afrique Verte Niger,NGOs and CSOs
Handicap International USA,NGOs and CSOs
Aga Khan Foundation Tajikistan,NGOs and CSOs
World University Service - Canada,NGOs and CSOs
Plan USA,NGOs and CSOs
Agronomes et VÈtÈrinaires Sans FrontiËres,NGOs and CSOs
Agency for Cooperation and Research in Development,NGOs and CSOs
Near East Foundation,NGOs and CSOs
Associazione Amici dellíOasis Togo,NGOs and CSOs
FICASE,NGOs and CSOs
African Development Solutions,NGOs and CSOs
Coof Havanna,NGOs and CSOs
GynÈcologie sans frontiËres,NGOs and CSOs
Planete Urgence,NGOs and CSOs
Christian Solidarity International,NGOs and CSOs
Handicap International Luxembourg,NGOs and CSOs
SolidaritÈ FÈminine pour la Paix et le DÈveloppement IntÈgral,NGOs and CSOs
Mission am Nill,NGOs and CSOs
Center for Research on the Epidemiology of Disasters,NGOs and CSOs
Ad Council,NGOs and CSOs
Support for Peace and Education Development Program,NGOs and CSOs
Peace Action Society Organisation for Somalia,NGOs and CSOs
Global One 2015,NGOs and CSOs
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,NGOs and CSOs
Jordan Health Aid Society,NGOs and CSOs
Norwegian Afghanistan Committee,NGOs and CSOs
Purpose Foundation,NGOs and CSOs
Euro-Mediterranean Foundation of Support to Human Rights Defenders,NGOs and CSOs
Charities Aid Foundation,NGOs and CSOs
Research Council of Norway,NGOs and CSOs
Open Society Foundations,NGOs and CSOs
Arab Network for Tolerance,NGOs and CSOs
Somali Humanitarian Aid and Development Organization,NGOs and CSOs
Wamo Relief and Rehabilitation Services,NGOs and CSOs
Sudan Medical Care,NGOs and CSOs
Zamzam Foundation,NGOs and CSOs
"Association pour la SolidaritÈ, le DÈveloppement et l'IntÈgration Sociale",NGOs and CSOs
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,NGOs and CSOs
"IHH-Humanitarian Relief Foundation, Turkey",NGOs and CSOs
Bjerknes Centre for Climate Research,NGOs and CSOs
Heinrich Bˆll Foundation,NGOs and CSOs
Institutt for Journalistikk,NGOs and CSOs
Fondation Luxembourgeoise Raoul Follereau,NGOs and CSOs
Radanar Ayar Association,NGOs and CSOs
Forum for African Women Educationalist Gambia Chapter,NGOs and CSOs
Caritas New Zealand,NGOs and CSOs
ACT Alliance / Act for Peace,NGOs and CSOs
Oxford Research Group,NGOs and CSOs
Action on Armed Violence,NGOs and CSOs
CRC - NGO Group for the Convention on the Rights of the Child,NGOs and CSOs
Instituto Sou da Paz,NGOs and CSOs
Open Society Institute Assistance Foundation,NGOs and CSOs
"Citizens' Disaster Response Center, Inc",NGOs and CSOs
Physicians Across Continents,NGOs and CSOs
Stiftung Deutsche Welthungerhilfe,NGOs and CSOs
Afghanistankomiteen i Norge,NGOs and CSOs
Diakonie Katastrophenhilfe,NGOs and CSOs
Caritas Czech Republic,NGOs and CSOs
OXFAM,NGOs and CSOs
Afrique Verte Mali,NGOs and CSOs
Canadian Catholic Organization for Development and Peace (Caritas Canada),NGOs and CSOs
DIAKONISCHES WERK DER EKD,NGOs and CSOs
Sante Sud,NGOs and CSOs
SantÈ Mali RhÙne Alpes,NGOs and CSOs
LandsAid e.V.,NGOs and CSOs
Nile Hope,NGOs and CSOs
Association of International Development Agencies,NGOs and CSOs
Conflict Dynamics International,NGOs and CSOs
Universal Network for Knowledge and Empowerment Agency,NGOs and CSOs
World Vision South Sudan,NGOs and CSOs
Christian Mission for Development,NGOs and CSOs
Christian Recovery and Development Agency,NGOs and CSOs
Afghan NGO Security Office,NGOs and CSOs
Mine Detection Centre,NGOs and CSOs
ASCHIANA,NGOs and CSOs
HelpAge International UK,NGOs and CSOs
Universal Intervention and Development Organization,NGOs and CSOs
Demining Agency for Afghanistan,NGOs and CSOs
Clear Path International,NGOs and CSOs
Terre des Hommes - Lausanne,NGOs and CSOs
Article 36,NGOs and CSOs
SFCG/RDC,NGOs and CSOs
Medicos do Mundo,NGOs and CSOs
Joint Standards Initiative,NGOs and CSOs
Global Communities,NGOs and CSOs
Assessment Capacities Project,NGOs and CSOs
Pour une Syrie libre,NGOs and CSOs
MISOLA,NGOs and CSOs
Groupe de Recherche et de RÈalisations pour le DÈveloppement Rural,NGOs and CSOs
Family Planning Organization of the Philippines,NGOs and CSOs
Fundacion Promocion Social de la Cultura,NGOs and CSOs
Czech Evang. Diacony,NGOs and CSOs
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs and CSOs
Plan Mali,NGOs and CSOs
Action de DÈvelopement Durable en Afrique,NGOs and CSOs
The Health Support Organization,NGOs and CSOs
Alaska Sudan Medical Project,NGOs and CSOs
Missions‰rztliches Institut W¸rzburg,NGOs and CSOs
Terre des Hommes - Germany,NGOs and CSOs
Center for International Studies and Cooperation,NGOs and CSOs
Magna Deti v nudzi [Magna Children at Risk],NGOs and CSOs
Delvon Assistance for Social Harmony (DASH),NGOs and CSOs
Women And Health Alliance,NGOs and CSOs
Institute of Cultural Affairs Japan,NGOs and CSOs
CWS Japan,NGOs and CSOs
Rural Agency for Community Development and Assistance,NGOs and CSOs
Good Neighbours Inc,NGOs and CSOs
Volunteer Organization for the International Co-operation la Nostra Famiglia,NGOs and CSOs
Oeuvre d'Orient,NGOs and CSOs
NGO Safety Program,NGOs and CSOs
Danmission,NGOs and CSOs
Joint IDP Profiling Service,NGOs and CSOs
Development and Regeneration Association,NGOs and CSOs
NGO Security Programme,NGOs and CSOs
Humanitarian Policy and Conflict Research,NGOs and CSOs
SociÈtÈ Kolping,NGOs and CSOs
SantÈ DiabËte,NGOs and CSOs
Fondation Raoul Follereau,NGOs and CSOs
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs and CSOs
Center for the Defence of the Individual,NGOs and CSOs
Non Violent Peace Force,NGOs and CSOs
Nonviolent Peaceforce,NGOs and CSOs
Aweil Window of Opportunities and Development Agency,NGOs and CSOs
Caritas Chad,NGOs and CSOs
ETANA Press,NGOs and CSOs
Volontariato Internazionale per lo Sviluppo,NGOs and CSOs
Japan Association for Refugees,NGOs and CSOs
"Social, Humanitarian, Economical Intervention for Local Developmen",NGOs and CSOs
Provea - Venezolano de EducaciÛn-AcciÛn en Derechos Humanos,NGOs and CSOs
Aadamiga USA,NGOs and CSOs
Arab Reporters for Investigative Journalism,NGOs and CSOs
International Planned Parenthood Federation,NGOs and CSOs
Centre for Civil and Political Rights,NGOs and CSOs
Thomson Foundation,NGOs and CSOs
Partnership Center for Development and Democracy,NGOs and CSOs
Samir Kassir Foundation,NGOs and CSOs
Maarouf Saad Social and Cultural Foundation,NGOs and CSOs
National Institution of Social Care & Vocational Training,NGOs and CSOs
Lebanon Support,NGOs and CSOs
Suvannimit Foundation,NGOs and CSOs
International Volunteer Center of Yamagata,NGOs and CSOs
Shanti Volunteer Association,NGOs and CSOs
Japan Asian Association and Asian Friendship Society,NGOs and CSOs
Cooperative for Assistance and Relief Everywhere,NGOs and CSOs
Collectif du developpement et du secours syrien,NGOs and CSOs
Direct Focus Community Aid,NGOs and CSOs
Aertze der Welt e.V.,NGOs and CSOs
World Vision Philippines,NGOs and CSOs
Care Czech Republic,NGOs and CSOs
World Vision Ireland,NGOs and CSOs
Global Medic,NGOs and CSOs
ACT Alliance / World Renew,NGOs and CSOs
ACT Alliance / Canadian Lutheran World Relief,NGOs and CSOs
Fleet Forum,NGOs and CSOs
International Initiative for Impact Evaluation (3ie),NGOs and CSOs
Solo Enviro Beautification,NGOs and CSOs
Institut EuropÈen de CoopÈration et de DÈveloppement,NGOs and CSOs
Syria Sanad,NGOs and CSOs
Mouvement non violent syrien,NGOs and CSOs
Tides Center,NGOs and CSOs
Coordination Of Rehabilitation Services For Afghanistan,NGOs and CSOs
Operation Mercy,NGOs and CSOs
APHEDA,NGOs and CSOs
"Groupe antiraciste díaccompagnement, et de defense des Ètrangers et migrants",NGOs and CSOs
France Terre díAsile,NGOs and CSOs
Women and Children Child Care Organization,NGOs and CSOs
