Recipient.Organization,recipientcodename
Instituto Colombiano de Bienestar Familial,National government
Serbia,National government
Ministry of Rural Rehabilitation and Development Afghanistan,National government
Cote d'Ivoire,National government
Suriname,National government
Antigua and Barbuda,National government
Barbados,National government
Bhutan,National government
Gabon,National government
Kazakhstan,National government
Palau,National government
Samoa,National government
Saint Lucia,National government
Swaziland,National government
Trinidad and Tobago,National government
Coordinadora Nacional para la Reduccion de Desastres,National government
Oman,National government
Estonian Public Service Academy,National government
Dominica,National government
Togo,National government
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",National government
Cameroon,National government
Tunisia,National government
Libya,National government
Tuvalu,National government
King Salman Humanitarian Aid and Relief Center,National government
National Space Agency of Ukraine,National government
Montenegro,National government
Republic of South Sudan,National government
National Primary Health Care Development Agency,National government
Tanzania,National government
Programa de ReducciÛn del Riesgo de Desastres,National government
Saint Vincent and the Grenadines,National government
CAIPA,Other multi
Ministry of Education and Higher Education,National government
Jordanian National Commission for Women,National government
Rural Water and Sanitation Support Agency,National government
Solomon Islands,National government
Comoros,National government
Yemen Higher Relief Committee,National government
Unitad Nacional para la Gestion del Riesgo de Desastres,National government
Somalia,National government
Saint Kitts and Nevis,National government
Solidarity Organization for Rehabilitation of Afghanistan,National government
Abu Dhabi Tourism Authority,National government
Afghan Ministry of Planning,National government
Andorra,National government
Bahrain,National government
BAPPENAS - Indonesia National Development Planning Agency,National government
Bilateral (to affected government),National government
British Virgin Islands,National government
Brunei Darussalam,National government
Cameroun,National government
Cascos Blancos - Argentina,National government
Chad ,National government
Croatian Mine Action Center,National government
Cyprus,National government
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",National government
EMERCOM,National government
EMERCOM/Mongolia,National government
EMERCOM/Russian Federation,National government
Equatorial Guinea,National government
Equatorial Guinea ,National government
Estonia,National government
Estonian Disaster Relief Team ,National government
Estonian Public Service Academy ,National government
Estonian Rescue Board ,National government
Faeroe Islands,National government
Faroe Islands,National government
French Polynesia,National government
GAPAR - Syrian General Authority for Palestine Arab Refugees,National government
General Administration for Palestinian Arab Refugees,National government
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,National government
Govt of Ethiopia Disaster Prevention and Preparedness Commission,National government
Govt of Indonesia: Bidan Kesehatan Department of Health,National government
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),National government
"Guatemala General Council in Miami, Florida",National government
Holy See,National government
Hong Kong Special Administrative Region of the People's Republic of China,National government
IgarapÈ,National government
Israel,National government
Jordanian Civil Defense,National government
Kuwait,National government
Latvia,National government
League of Arab States,Other multi
Liechtenstein,National government
Lithuania,National government
"Macedonia, Former Yugoslav Republic of ",National government
Malta,National government
Ministry for Transportation and Infrastructure,National government
Ministry of Agriculture and Irrigation,National government
Monaco,National government
NACSA - National Commission for Social Action - Sierra Leone  ,National government
National Agency for the Prohibition of Traffic in Persons - Nigeria,National government
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",National government
National Commission for Lebanese Women,National government
National Disaster Response Coordinating Council,National government
National Office for Electoral Process,National government
NEMA - National Emergency Management Agency,National government
Nicaraguan Forestry Institute,National government
Office of the Representative of the Dalai Lama,National government
Order of Malta,NGOs
PAICMA,National government
Palestinian Authority,National government
Prefecto of the Department of La Paz,National government
Prime Minister's National Relief Fund/India,National government
Puerto Rico,National government
Qatar,National government
Regional Govt of Lambayeque (Peru),National government
San Marino,National government
Saudi Committee,National government
Scottish Executive,DAC governments
Serbia ,National government
Singapore,National government
St. Lucia National Emergency Management Organisation,National government
Suriname ,National government
TAIPEI FIRE SERVICE,National government
Taiwan (Province of China),National government
TNI Navy,National government
Turkmenistan,National government
Union of South American Nations,National government
United Arab Emirates,National government
Uruguay ,National government
Uzbekistan (Government of),National government
White Helmets Commission,National government
Bilateral (affected government),National government
Khazanah Nasional,National government
Taiwan ICDF,National government
International Trust Fund for Demining and Victim Assistance,NGOs
Friedensdorf International,NGOs
World Vision International,NGOs
ACT Alliance / Finn Church Aid,NGOs
Johanniter Unfallhilfe e.V.,NGOs
ORA e. V. Deutsher Hilfsfonds,NGOs
Action Contre la Faim,NGOs
Save the Children,NGOs
MÈdecins sans FrontiËres,NGOs
Norwegian Refugee Council,NGOs
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs
Humedica,NGOs
GOAL,NGOs
Trocaire,NGOs
CARE International,NGOs
ACT Alliance / Norwegian Church Aid,NGOs
Adventist Development and Relief Agency,NGOs
ACT Alliance / Christian Aid,NGOs
Concern Worldwide,NGOs
TEARFUND,NGOs
International Rescue Committee,NGOs
MÈdecins sans FrontiËres - France,NGOs
ACT Alliance / DanChurchAid,NGOs
OXFAM Belgium,NGOs
MÈdecins sans FrontiËres - Netherlands,NGOs
CARE USA,NGOs
Catholic Organisation for Relief and Development Aid,NGOs
International Aid Services,NGOs
VÈtÈrinaires sans FrontiËres (Switzerland),NGOs
Canadian Food Grains Bank,NGOs
CARITAS / Catholic Relief Services,NGOs
OXFAM GB,NGOs
ACF - Spain,NGOs
Development Workshop,NGOs
MÈdecins sans FrontiËres - Belgium,NGOs
Norwegian People's Aid,NGOs
Praktisk Solidarites,NGOs
ICDP - International Child Development Programme,NGOs
Christian Relief Network,NGOs
Catholic Relief Services,NGOs
Terre des Hommes International,NGOs
African Revival Ministries,NGOs
International Alert,NGOs
MÈdecins sans FrontiËres - Canada,NGOs
Caritas Germany (DCV),NGOs
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs
Pentecostal Foreign Mission,NGOs
American Refugee Committee,NGOs
Food for the Hungry International,NGOs
OXFAM Netherlands (NOVIB),NGOs
CARE Canada,NGOs
International Medical Corps,NGOs
MEDAIR,NGOs
Balkanactive van de gemeenten,NGOs
Arbeiter-Samariter-Bund Deutschland e.V,NGOs
Freundschaftsbrucke Deutschland e.V.,NGOs
Help - Hilfe zur Selbsthilfe e.V.,NGOs
Hilfe fur Kinder in Not e.V,NGOs
Kolnische Franziskanerprovinz Bosnienhilfe,NGOs
Vive Zene,NGOs
Sezam,NGOs
HealthNet International Transcultural Psychosocial Organisation,NGOs
Werkgroep Nederland Srebrenica,NGOs
International Catholic Migration Commission,NGOs
International Orthodox Christian Charities,NGOs
ACT Alliance / United Methodist Committee on Relief,NGOs
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs
Danish People's Aid,NGOs
Danish Refugee Council,NGOs
ACT Alliance / Diakonie Emergency Aid,NGOs
Hammer Forum e.V,NGOs
HCC-Humanit‰re Nothilfeprogramme weltweit,NGOs
Kinderberg International e.V.,NGOs
Medica Mondiale,NGOs
Intercare,NGOs
Pharmaciens sans FrontiËres (France),NGOs
PMU-Interlife,NGOs
NGOs (details not yet provided),NGOs
International Relief and Development,NGOs
Mercy Corps,NGOs
MÈdecins du Monde,NGOs
Danish People's Relief Association,NGOs
Amica hilft in Bosnien e.V.,NGOs
HALO Trust,NGOs
Rape Crisis Centre,NGOs
International Commission on Missing Persons,NGOs
Hilfswerk Austria International,NGOs
TIRUS - Maluku network of NGOs,NGOs
Caritas Denmark,NGOs
DAC - Danish Afghan Committee,NGOs
Danish De-mining Group,NGOs
DSI - Danish Council of Organizations of Disabled People,NGOs
Mission East,NGOs
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs
Collaborative for Development Action,NGOs
International Council of Voluntary Agencies,NGOs
Emergency Nutrition Network,NGOs
Danish Mission Council Development,NGOs
Danish De-mining Centre,NGOs
International Campaign to Ban Landmines,NGOs
CARE-UK,NGOs
Action by Churches Together (ACT),NGOs
Fonds voor OntwikkelingsSamenwerking,NGOs
Shelter Now International,NGOs
AssistÍncia MÈdica Internacional (AMI),NGOs
Community Aid Abroad,NGOs
Danish Committee for Aid to Afghan Refugees,NGOs
MADERA,NGOs
Solidarites-France,NGOs
Swedish Committee for Afghanistan,NGOs
World Vision Viet Nam,NGOs
SODI - Solidarit‰tsdienst-International,NGOs
World Vision  Netherlands,NGOs
Komitee Arzte,NGOs
ACT Alliance / Lutheran World Relief,NGOs
German Doctors for Developing Countries,NGOs
Catholic Agency for Overseas Development,NGOs
HelpAge International,NGOs
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,NGOs
ACT Alliance / Church World Service,NGOs
Peace Winds Japan,NGOs
Media Action Intl.,NGOs
Svenska Missionsradet,NGOs
Caritas Spain,NGOs
Medico International,NGOs
OXFAM Canada,NGOs
Swedish Lutheran Aid,NGOs
Heart to Heart International,NGOs
PTM - Paz y Tercer Mundo,NGOs
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs
Children's Aid Direct,NGOs
Menschen f¸r,NGOs
Christoffel-Blindenmission,NGOs
ˆˆ Volkshilfe,NGOs
Fishermen of Christ Incorporated Philippines,NGOs
Initiative Dritte Welt Braunau,NGOs
Katholische M‰nnerbewegung,NGOs
Solidarit‰t mit Lateinamerika,NGOs
"International Nothilfe e.V., Coswig",NGOs
ZOA,NGOs
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs
Catholic Peace Movement,NGOs
Mercy Ships,NGOs
Humanit‰re Hilfe f¸r,NGOs
Danish Refugee Board,NGOs
VÈtÈrinaires sans FrontiËres (Germany),NGOs
ACF - France,NGOs
World Vision Relief and Development  Inc.,NGOs
Africare,NGOs
Agency for Technical Cooperation and Development,NGOs
REST - Relief Society of Tigray,NGOs
American Friends Service Committee,NGOs
Rehabilitation and Research Centre for Torture Victims,NGOs
The Swedish Fellowship of Reconciliation,NGOs
Children's Relief,NGOs
SAH - Schweizerisches Arbeiterhilfswerk,NGOs
SolidaritÈs International,NGOs
Gruppo Volontariato Civile,NGOs
Interchurch Medical Assistance World Health,NGOs
Air Serv International,NGOs
Enfants du Monde - Droits de l'Homme,NGOs
Danish Refugee Council/ICVA,NGOs
Alternative/SCF-UK,NGOs
Nile People's Peace Conference,NGOs
Partners in Rural Development,NGOs
VÈtÈrinaires sans FrontiËres (Belgium),NGOs
Service Social International,NGOs
Danchurchaid / Danish De-mining Group,NGOs
Indivduell M‡nniskohj‡lp - Swedish NGO,NGOs
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan,NGOs
Medical Emergency Relief International,NGOs
Menschen Gegen Minen,NGOs
KFUK/KFUM,NGOs
AQUADEV,NGOs
Admira,NGOs
Human Rights Watch,NGOs
Swedish Covenant Mission,NGOs
Parliamentarians for Global Action,NGOs
Qandil Swedish Humanitarian Aid Organization,NGOs
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs
Care Peru,NGOs
Refugee Trust,NGOs
International Crisis Group,NGOs
Mines Advisory Group,NGOs
World Vision Canada,NGOs
World Vision Angola,NGOs
SIM Canada,NGOs
CARE Netherlands,NGOs
ASIA Onlus,NGOs
Aga Khan Foundation,NGOs
Centro d'Informazione e Educazione allo Sviluppo,NGOs
Center for Victims of Torture,NGOs
Terra Nuova,NGOs
Cooperative Housing Foundation International,NGOs
CARE France,NGOs
Cooperazione Internazionale - COOPI,NGOs
Triangle,NGOs
CINS -  Cooperazione Italiana Nord Sud,NGOs
MOVIMONDO,NGOs
ACF - UK,NGOs
INTERMON,NGOs
Search for Common Ground,NGOs
Miloserdie (Mercy),NGOs
Salvation Army,NGOs
SOS Kinderdorf,NGOs
Hope International Development Agency,NGOs
ACT Alliance / Lutheran World Federation,NGOs
World Vision Germany,NGOs
Hopital sans FrontiËres,NGOs
European Children's Trust,NGOs
Caritas Austria,NGOs
Comitato Internationale per lo Sviluppo dei Popoli,NGOs
Pax Christi e.V,NGOs
International Association for Maternal and Neonatal Health,NGOs
FGMed,NGOs
Macedonia Centre for International Cooperation,NGOs
Lazarus-Hilfswerk e.V.,NGOs
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs
Caritas Sweden,NGOs
Canadian Physicians for Aid and Relief,NGOs
Cooperazione E Sviluppo - CESVI,NGOs
American Rescue Committee,NGOs
Medical Aid for Palestinians,NGOs
Enfants Refugies du Monde,NGOs
Allianz Mission,NGOs
Internationaler Verein f¸r Frieden und Gerechtigkeit - Pro Humanitate e.V. Kˆln,NGOs
Inter Religious Council,NGOs
Olympic Aid,NGOs
INTERSOS Humanitarian Aid Organization,NGOs
Reprise de Justesse,NGOs
Danish Association for International Co-operation,NGOs
World Relief,NGOs
Centre canadien d'Ètude et de coopÈration internationale (CECI),NGOs
JCS - Joint Christian Services,NGOs
ACT Alliance / SolidaritÈ Protestante,NGOs
CARAES,NGOs
MEMISA - Action mÈdicale missionnaire,NGOs
Louvain-Developpement,NGOs
VREDESEILANDEN,NGOs
Edinburgh Direct Aid,NGOs
Child Advocacy International,NGOs
Christian Mission Aid,NGOs
Horizont 3000,NGOs
Counterpart International,NGOs
Swedish Cooperative Centre,NGOs
Las Dignas,NGOs
ACT Alliance / Church of Sweden,NGOs
Scottish Catholic International Aid Fund,NGOs
Plan International,NGOs
Tear Australia,NGOs
CARE Norway,NGOs
Caritas Norway,NGOs
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs
Self Employment Womens' Association,NGOs
Caritas India,NGOs
Caritas Peru,NGOs
Concern India,NGOs
Ayuda en Accion,NGOs
Janus e.V,NGOs
Honduras ComitÈ Permanente de Contingencias,NGOs
OIKOS - IntercooperaÁ„o e Desenvolvimento,NGOs
"Movimiento por la Paz, el Desarme y la Libertad",NGOs
Organization Catholique Pour la Promotion Humaine,NGOs
Komitee Cap Anamur,NGOs
Medicuba en Salud,NGOs
Hospital Hermanos Ameijeiras,NGOs
Presbyterian Church in Ireland,NGOs
Volens,NGOs
Atlas Logistique,NGOs
Nehemia Christenhilfsdienst e.V.,NGOs
Care Germany,NGOs
Transcultural Psychosocial Organisation,NGOs
Rum‰nienhilfe Sch‰rding,NGOs
Rum‰nienhilfe Liebenau,NGOs
Kindernothilfe e.V.,NGOs
Fondation Suisse pour le DÈminage,NGOs
MediCuba-Suisse,NGOs
Agency for Rehabilitation and Development,NGOs
CAUSE Canada,NGOs
Bienvenu Refugee Shelter,NGOs
Emmanuel International,NGOs
ACT Alliance / Christian Aid UK,NGOs
Farm Community Trust of Zimbabwe,NGOs
Food Security Network,NGOs
ComitÈ d'Aide MÈdicale,NGOs
Ockenden International,NGOs
Internews Europe,NGOs
National Democratic Institute,NGOs
Population Services International,NGOs
Plan Norge,NGOs
Opportunities Industrialisation Centres International,NGOs
Association of Christian Resource Organizations Serving Sudan,NGOs
Samaritan's Purse,NGOs
PACTEC,NGOs
Associazione Volontari per il Servizio Internazionale,NGOs
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs
Rural Focus,NGOs
Seeds of Peace,NGOs
"Christian Children's Fund, USA",NGOs
Hellenic Rescue Team,NGOs
InWent,NGOs
VAF - Verein f¸r Afghanistan Fˆrderung,NGOs
Katachel e.V,NGOs
Islamic Relief Worldwide,NGOs
BBC World Service Trust,NGOs
Leprosy Aid Switzerland,NGOs
Hogar de Cristo Santiago,NGOs
SAM - Schweizer Allianz Mission,NGOs
Association Morija,NGOs
Maison Shalom Ruyigi,NGOs
Afghan Mobile Reconstruction Association,NGOs
ACT Alliance / United Church of Canada,NGOs
Emmanuel International of Canada,NGOs
The Palestine Solidarity Association in Sweden,NGOs
Care Sudan,NGOs
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs
Hoffnungszeichen - Sign of Hope e.V,NGOs
Disaster Relief Agency,NGOs
Associazione per la Participazione allo Svillupo,NGOs
Practical Action (formerly Intermediate Technology Development Group),NGOs
Asian Disaster Preparedness Centre,NGOs
The Swedish Organisation for Individual Relief,NGOs
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs
MPDL - PRTM,NGOs
Secours Catholique ñ Caritas France,NGOs
Handicap International France,NGOs
Geohazards International,NGOs
FOCUS International,NGOs
Shelter for Life,NGOs
Fellowship for African Relief,NGOs
Enfants du Monde,NGOs
CARE Australia,NGOs
Australian Volunteers International,NGOs
Human Help Network e.V.,NGOs
Disaster Mitigation Institute,NGOs
REA - RÈhabilitation  Education Aide social,NGOs
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs
Handicap International Belgium,NGOs
Norwegian Aid Committee,NGOs
International Assistance Mission,NGOs
Afghan Health & Development Services,NGOs
Afghan Health and Social Assistance Organisation,NGOs
Afghanistan Solidarity Organization,NGOs
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs
People in Need,NGOs
ISRA - Islamic Relief Agency,NGOs
AœNA (Afghanistan),NGOs
Refugees International,NGOs
Afghan Development Association,NGOs
ERIC,NGOs
ALDHU - Latin American Association for Human Rights,NGOs
Triangle GÈnÈration Humanitaire,NGOs
ACT Alliance / Christian Care,NGOs
Inter Aide,NGOs
Partners in Health,NGOs
Solidaridad Internacional,NGOs
Reach Out Initiative,NGOs
Peace Brigades International,NGOs
Human Moral Care,NGOs
War Child UK,NGOs
Right to Play,NGOs
Solidarmed,NGOs
Geneva International Centre for Humanitarian Demining,NGOs
Freedom of Expression and of Association,NGOs
Aga Khan Development Network,NGOs
ACT Alliance / Icelandic Church Aid,NGOs
Vivamos Mejor,NGOs
NGO Ninez y Vida,NGOs
Jordan Hashemite Charity Organization,NGOs
BRASCRI,NGOs
MÈdecins sans FrontiËres - Switzerland,NGOs
Palestinian Human Rights Monitoring Group,NGOs
InterAction,NGOs
Norsk Luthersk Misjonssamband,NGOs
One Buddhism,NGOs
Swiss Rotary Club,NGOs
SHAML - Palestinian Diaspora and Refugee Center,NGOs
FARM Africa,NGOs
World Vision Australia,NGOs
Iraqi Handicapped Society,NGOs
Young Menís Christian Association,NGOs
Integrated Rural Development and Nature Conservation,NGOs
VÈtÈrinaire sans Frontieres,NGOs
World Vision Zimbabwe,NGOs
Centre for Common Ground in Angola (CCG),NGOs
FOSENET - NGO Food Security Network - Zimbabwe,NGOs
Mvuramanzi Trust,NGOs
Enfants de Cusco,NGOs
CARITAS,NGOs
Comitato Collaborazione Medica,NGOs
War Child Holland,NGOs
Sign of Hope,NGOs
Assisting Marsh Arabs and Refugees,NGOs
Mwelekeo Trust,NGOs
Humanitarian Accountability Partnership International,NGOs
Secours Catholique et DÈveloppement,NGOs
La chaine de l'espoir,NGOs
Arche Nova E.V. - Initiative for People in Need,NGOs
Gr¸nhelme,NGOs
FXB -  FranÁois-Xavier Bagnoud,NGOs
Pompiers sans frontiËres,NGOs
Reach Out,NGOs
Geneva Call,NGOs
"SolidaritÈ, Urgence, Developpement",NGOs
SÈcuritÈ civile,NGOs
People in Aid,NGOs
Partnership Africa Canada,NGOs
Doctors of the World,NGOs
IBIS,NGOs
International Aid Services Denmark,NGOs
Brookings Institute,NGOs
The Asia Foundation,NGOs
Social Impact,NGOs
SOS Villages d'Enfants,NGOs
International Committee for the Development of Peoples,NGOs
European Centre for Common Ground/Common Ground,NGOs
Swedish Groups of Africa,NGOs
CPH - ComitÈ Protos HaÔti,NGOs
Plan Haiti,NGOs
Pan American Development Foundation,NGOs
Christian Children's Fund,NGOs
The Mentor Initiative,NGOs
ACT Alliance / Ethiopian Orthodox Church,NGOs
Emergency Relief International,NGOs
Victims of Torture,NGOs
Relief International,NGOs
Associazione Italiana per la Solidariet‡ tra I Popoli,NGOs
Mission Ost - DNK,NGOs
World Vision UK,NGOs
"Association for Cooperation, Interchange and Culture",NGOs
Collegio Universitario Aspirante e Medici Missionari,NGOs
Terre des Hommes - Italy,NGOs
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs
Groupe de Secours Catastrophes Francais,NGOs
Sarvodaya Shramadana Movement,NGOs
Development Associates Inc.,NGOS
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs
Monitoring Evaluation And Training Agency,NGOs
Mine Clearance and Planning Agency,NGOs
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs
Potsdam Kommunikation,NGOs
Nippon International Cooperation for Community Development,NGOs
ORA International Lobito,NGOs
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs
Korea Campus Crusade for Christ,NGOs
World Relief Corporation,NGOs
Sabou Guinee,NGOs
Green Cross,NGOs
Northwest Medical Teams International,NGOs
Pharmaciens Sans Frontieres - Comite International,NGOs
Lay Volunteers International Association,NGOs
Communita Impegno Servizio Volontariato,NGOs
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,NGOs
Afghanischer Arzteverein in Deutschland e.V.,NGOs
Association rwandaise des conseillers en traumatisme,NGOs
CARE Austria,NGOs
HÙpital de la CharitÈ d'Oulan-Bator,NGOs
World Concern,NGOs
Food for the Poor,NGOs
Next Step Productions,NGOs
Swedish Mission Council,NGOs
SaferAfrica,NGOs
Samenwerkende Hulporganisaties,NGOs
Palestine Solidarity Organisation in Sweden,NGOs
Tibet House Trust,NGOs
AWWD,NGOs
Pathfinder International,NGOs
AH Dames Suisse,NGOs
Oxfam Intermon,NGOs
Japan Overseas Cooperation Volunteers,NGOs
Halo Partnership,NGOs
Physicians for Human Rights,NGOs
Kenya Land Alliance,NGOs
"SociÈtÈ Axis, Centre orthopÈdique d'Assomption",NGOs
Africa Humanitarian Action,NGOs
Hilfsgemeinschaft Lippe e.V,NGOs
Haukari e.V,NGOs
Telecom Sans Frontieres,NGOs
Kinder brauchen uns e.V,NGOs
Swiss AIDS Care International,NGOs
Helfende H‰nde e.V.,NGOs
Centre palestinien des droits de l'homme,NGOs
Secours Populaire Francais,NGOs
Four Homes of Mercy,NGOs
Friendship,NGOs
SolidaritÈ Socialiste,NGOs
Mediothek f¸r Afghanistan e.V,NGOs
PHRO - Palestinian Human Rights Organisation,NGOs
ROPKA International,NGOs
OCAPROCE,NGOs
International Institute of Humanitarian Law,NGOs
International Service for Human Rights,NGOs
Crisis Management Initiative,NGOs
European Centre for Conflict Prevention,NGOs
Centre de RÈflexion Europe Afrique,NGOs
WSP International,NGOs
World Vision USA,NGOs
Dorcas Aid International,NGOs
Polish Humanitarian Action,NGOs
Asamblea De Cooperacion Por La Paz,NGOs
Greek Committee For International Democratic Solidarity,NGOs
Healthnet International - Malaria Leishmaniasis Control Programme,NGOs
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs
Community Technology Development Trust,NGOs
Community Development Trust,NGOs
HEALTH UNLIMITED,NGOs
asociacion para la cooperacion con el sur,NGOs
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs
Nonviolence International,NGOs
Global Aid Network,NGOs
Hungarian Baptist  Aid Organisation,NGOs
Horn Relief,NGOs
Lichtbr¸cke e.V,NGOs
Plan Ireland,NGOs
Bangladesh Rural Advancement Committee,NGOs
ACT Alliance / Hungarian Interchurch Aid,NGOs
ACT Alliance / Diakonie Austria,NGOs
Wadi,NGOs
Aviation Sans Frontieres,NGOs
EXNORA,NGOs
OXFAM America,NGOs
International Health Partners,NGOs
RedR,NGOs
Project Concern International,NGOs
Aide et Action,NGOs
Afghanistan-Hilfe e.V.,NGOs
Shelter Centre,NGOs
Coalition for International Justice,NGOs
Private Agencies Collaborating Together,NGOs
OXFAM Ireland,NGOs
Habitat for Humanity International,NGOs
Aviation Sans Frontieres Belgium,NGOs
Oeuvres hospitaliËres franÁaises de l'Ordre de Malte,NGOs
GORTA,NGOs
Helen Keller International,NGOs
"Liberia Dujar Association, Sweden",NGOs
Danish International Life Saving Association,NGOs
Tamil Rehabilitation Organisation,NGOs
Canadian Food for the Hungry International,NGOs
Mine Action Canada,NGOs
Fondation Caritas Luxembourg,NGOs
SOS Faim,NGOs
International Work Group for Indigenous Affairs,NGOs
Transparency International,NGOs
Voluntary Service Overseas,NGOs
Fl¸chtlingshilfe Langen e.V.,NGOs
Swiss Centre for International Health,NGOs
World Association of Children's Friends,NGOs
EuronAid,NGOs
SOS Sahel International,NGOs
ChrÈtiens pour le Sahel,NGOs
Disasters Emergency Committee (UK),NGOs
CARITAS INTERNATIONALIS,NGOs
Primate's World Relief and Development Fund,NGOs
Americares,NGOs
People in Peril,NGOs
ASUR - Appui aux populations dÈplacÈes,NGOs
AMICA e.V,NGOs
Thailand Burma Border Consortium,NGOs
UNICEF National Committee/Canada,NGOs
Verein zur Unterst¸tzung von Schulen f¸r afgh. Fl¸chtlingskinder e.V,NGOs
NGO Coordination Committee for Iraq,NGOs
Australian Aid International,NGOs
International Development Law Organisation,NGOs
Africa Directo,NGOs
"Health, Development, Information and Policy Institute",NGOs
SOS-Barnbyar Sweden,NGOs
Kristna Freds,NGOs
Landmine Survivors Network,NGOs
EPI-Center,NGOs
Hebrew Immigrant Aid Society,NGOs
We World Onlus,NGOs
Associazione Italiana Amici di Raoul Follereau,NGOs
Rawa Association,NGOs
Holistic Management,NGOs
EQUIP Liberia,NGOs
NOVIB,NGOs
Solidarites-Belgium,NGOs
Project HOPE,NGOs
Actions MÈdicales Internationale,NGOs
Programme Against Malnutrition,NGOs
SOS Malta,NGOs
Health Partners International Canada,NGOs
Gifts in kind International,NGOs
Douleurs san FrontiËres,NGOs
SurfAid,NGOs
Mission Aviation Fellowship,NGOs
African Medical and Research Foundation,NGOs
Direct Relief,NGOs
Operation USA,NGOs
American Jewish World Service,NGOs
International Aid,NGOs
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs
International Relief Teams,NGOs
INMED Partnership for Children,NGOs
Baptist World Aid,NGOs
Jesuit Refugee Service,NGOs
World Hope International,NGOs
International Development and Relief Foundation,NGOs
Canadian Development and Peace,NGOs
Mennonite Central Committee,NGOs
ACT Alliance / Kerk in Actie - Netherlands,NGOs
HIVOS,NGOs
Aktion Deutschland Hilft,NGOs
World Jewish Aid,NGOs
United Way International,NGOs
Comite Catholique contre la faim,NGOs
FrËre des Hommes,NGOs
Partage,NGOs
Un Enfant Par La Main,NGOs
Secours Islamique,NGOs
Emma¸s International,NGOs
Guilde du Raid,NGOs
Enfants et DÈveloppement,NGOs
SOS Kinderdorpen,NGOs
National Peace Corps Association,NGOs
Heart Doctors,NGOs
ACT Alliance / Christian Aid Ministries Nehemia,NGOs
Hungarian Malteser Charity Service,NGOs
VOICE ASBL,NGOs
"ACT Alliance / Diakonia, Sweden",NGOs
CISANET/CSCQBE/MEJN,NGOs
Association Medina,NGOs
ITF,NGOs
ChildFund Ireland,NGOs
Inuit Circumpolar Conference,NGOs
Halte Aux Mines Antipersonnel,NGOs
Development Education Network for Liberia,NGOs
Alive and kicking,NGOs
Planeta,NGOs
Pharmaciens sans frontiËres (PSF),NGOs
Voluntariado Internacional para o Desenvolvimento Africano,NGOs
Association for the Prevention of Torture,NGOs
Management Sciences for Health,NGOs
Christian Outreach Relief and Development,NGOs
Children Assistance Programme,NGOs
PUMP AID,NGOs
International Centre for Transitional Justice,NGOs
Swedish Refugee Aid,NGOs
Armenian Relief Society,NGOs
Ethiopian Muslims Relief and Development Association,NGOs
AMEL - Lebanese Association for Popular Action,NGOs
Magen David Adom,NGOs
Glencree Centre for Peace and Reconciliation,NGOs
Landmine Action,NGOs
Fondation de l'Ordre de Malte pour le Liban,NGOs
Deniz Feneri Association,NGOs
Turkish Kidney Foundation,NGOs
Istanbul International Brotherhood and Assistance Association,NGOs
Humanitarian Relief Foundation,NGOs
Palestinian Medical Relief Society,NGOs
WA-UK,NGOs
Seestern e.V.,NGOs
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs
Swedish Christian Council,NGOs
Canada International Demining Corps,NGOs
Voice of America,NGOs
ASASE,NGOs
American Near East Refugee Aid,NGOs
Windle Trust International,NGOs
AUSTCARE - Australian Care for Refugees,NGOs
CEMUBAC (Belgian medical NGO),NGOs
INDE - IntercooperaÁao e Desenvolvimento (Portuguese NGO),NGOs
Hellef fir Rosario,NGOs
Medicos en catastrofe (MEC),NGOs
Association pour la protection de l'enfant de la guerre,NGOs
International Dalit Solidarity Network,NGOs
Community Appraisal & Motivation Program,NGOs
ROKPA,NGOs
